2023-05-27 22:25:39 - INFO - 
  训练参数：
     训练模式：True
     训练轮次：4000
     执行动作：1
     exploration_max: 1.0
     exploration_min: 0.02
     exploration_decay: 0.999999
     lr: 0.00025
     batch size: 32
     max_memory_size: 100000
     gamma: 0.9
     copy_step: 5000
     save_path: ./runs/exp11
     test_model_dir: runs/exp3
     desc: 
     render_mode: 3

2023-05-27 23:28:23 - INFO - Episode 127, total score=755, average score=570.07, exploration_rate=0.9594, 每步耗时：0.0001, 训练耗时：0.0802
2023-05-27 23:29:01 - INFO - Episode 128, total score=759, average score=571.55, exploration_rate=0.9590, 每步耗时：0.0001, 训练耗时：0.0805
2023-05-27 23:30:02 - INFO - Episode 129, total score=939, average score=574.40, exploration_rate=0.9584, 每步耗时：0.0001, 训练耗时：0.0804
2023-05-27 23:30:43 - INFO - Episode 130, total score=720, average score=575.52, exploration_rate=0.9580, 每步耗时：0.0001, 训练耗时：0.0826
2023-05-27 23:30:48 - INFO - Episode 131, total score=222, average score=572.82, exploration_rate=0.9579, 每步耗时：0.0001, 训练耗时：0.0810
2023-05-27 23:31:04 - INFO - Episode 132, total score=634, average score=573.28, exploration_rate=0.9578, 每步耗时：0.0001, 训练耗时：0.0811
2023-05-27 23:31:08 - INFO - Episode 133, total score=218, average score=570.61, exploration_rate=0.9577, 每步耗时：0.0001, 训练耗时：0.0809
2023-05-27 23:31:59 - INFO - Episode 134, total score=956, average score=573.49, exploration_rate=0.9572, 每步耗时：0.0001, 训练耗时：0.0805
2023-05-27 23:32:04 - INFO - Episode 135, total score=235, average score=570.98, exploration_rate=0.9571, 每步耗时：0.0001, 训练耗时：0.0805
2023-05-27 23:32:28 - INFO - Episode 136, total score=747, average score=572.27, exploration_rate=0.9569, 每步耗时：0.0001, 训练耗时：0.0807
2023-05-27 23:32:45 - INFO - Episode 137, total score=630, average score=572.69, exploration_rate=0.9567, 每步耗时：0.0001, 训练耗时：0.0824
2023-05-27 23:35:07 - INFO - Episode 138, total score=739, average score=573.90, exploration_rate=0.9552, 每步耗时：0.0001, 训练耗时：0.0810
2023-05-27 23:35:56 - INFO - Episode 139, total score=972, average score=576.76, exploration_rate=0.9547, 每步耗时：0.0001, 训练耗时：0.0812
2023-05-27 23:36:09 - INFO - Episode 140, total score=599, average score=576.92, exploration_rate=0.9546, 每步耗时：0.0001, 训练耗时：0.0811
2023-05-27 23:37:06 - INFO - Episode 141, total score=614, average score=577.18, exploration_rate=0.9540, 每步耗时：0.0001, 训练耗时：0.0813
2023-05-27 23:37:09 - INFO - Episode 142, total score=235, average score=574.77, exploration_rate=0.9540, 每步耗时：0.0001, 训练耗时：0.0820
2023-05-27 23:37:44 - INFO - Episode 143, total score=1388, average score=580.46, exploration_rate=0.9536, 每步耗时：0.0001, 训练耗时：0.0812
2023-05-27 23:37:55 - INFO - Episode 144, total score=588, average score=580.51, exploration_rate=0.9535, 每步耗时：0.0001, 训练耗时：0.0809
